LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
89187,BELLEVUE,WA,98006,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
89067,SEATTLE,WA,98125,,Corporation,Unanswered,Unanswered,Unanswered,,36,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
89028,SEATTLE,WA,98117,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-07
89020,WOODINVILLE,WA,98072,446130,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-01
89000,SEATTLE,WA,98108,337124,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,4-11-2020,KeyBank National Association,WA-07
88972,SEATTLE,WA,98121,541611,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
88916,BELLEVUE,WA,98007,441310,Corporation,White,Male Owned,Non-Veteran,,0,06/26/2020,"Wells Fargo Bank, National Association",WA-09
88913,KIRKLAND,WA,98033,236117,Corporation,Unanswered,Unanswered,Unanswered,,0,5-5-2020,"Wells Fargo Bank, National Association",WA-01
88850,Everett,WA,98204,541410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,5-3-2020,KeyBank National Association,WA-02
88750,TACOMA,WA,98421,488999,Corporation,Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
88700,PORT ORCHARD,WA,98366,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/14/2020,KeyBank National Association,WA-06
88650,SEQUIM,WA,98382,541330,Corporation,Unanswered,Unanswered,Unanswered,,8,5-2-2020,"JPMorgan Chase Bank, National Association",WA-06
88605,EVERETT,WA,98201,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
88525,FRIDAY HARBOR,WA,98250,236115,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-02
88517,OCEAN SHORES,WA,98569,721110,Corporation,Unanswered,Unanswered,Unanswered,,0,5-4-2020,"Wells Fargo Bank, National Association",WA-06
88491,LYNNWOOD,WA,98036,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-01
88445,SEATTLE,WA,98199,445120,Corporation,Unanswered,Male Owned,Unanswered,,9,04/15/2020,KeyBank National Association,WA-07
88442,BELLEVUE,WA,98005,,Corporation,Unanswered,Unanswered,Unanswered,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
88437,LYNNWOOD,WA,98037,541219,Corporation,Unanswered,Male Owned,Non-Veteran,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
88404,MERCER ISLAND,WA,98040,238330,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,7,05/22/2020,"JPMorgan Chase Bank, National Association",WA-09
88335,SEATTLE,WA,98144,332111,Corporation,Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
88300,RAVENSDALE,WA,98051,238910,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-08
88212,Puyallup,WA,98375,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
88200,LYNNWOOD,WA,98036,621340,Corporation,Unanswered,Unanswered,Unanswered,,8,04/28/2020,KeyBank National Association,WA-01
88194,MERCER ISLAND,WA,98040,624410,Corporation,Unanswered,Unanswered,Unanswered,,0,06/22/2020,"Wells Fargo Bank, National Association",WA-09
88125,SEATTLE,WA,98101,621210,Corporation,Unanswered,Female Owned,Non-Veteran,,0,5-1-2020,"Wells Fargo Bank, National Association",WA-07
88120,SEATTLE,WA,98109,621210,Corporation,Unanswered,Female Owned,Non-Veteran,,0,5-5-2020,"Wells Fargo Bank, National Association",WA-07
88100,RENTON,WA,98056,522310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,4-10-2020,KeyBank National Association,WA-09
88100,KIRKLAND,WA,98034,621210,Corporation,Unanswered,Male Owned,Non-Veteran,,7,04/13/2020,KeyBank National Association,WA-01
88082,SEATTLE,WA,98146,811198,Corporation,Unanswered,Unanswered,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",WA-07
88037.5,Burien,WA,98166,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,7,5-8-2020,KeyBank National Association,WA-07
88000,TENINO,WA,98589,561730,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,4-11-2020,KeyBank National Association,WA-03
88000,KENT,WA,98032,611610,Subchapter S Corporation,White,Female Owned,Non-Veteran,,14,04/13/2020,KeyBank National Association,WA-09
88000,SPANAWAY,WA,98387,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/13/2020,KeyBank National Association,WA-08
87979,SEATTLE,WA,98108,339950,Corporation,Unanswered,Unanswered,Unanswered,,0,5-9-2020,"Wells Fargo Bank, National Association",WA-07
87900,ELLENSBURG,WA,98926,424910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,04/13/2020,KeyBank National Association,WA-08
87808,SEATTLE,WA,98102,812199,Corporation,White,Male Owned,Non-Veteran,,15,04/14/2020,KeyBank National Association,WA-07
87773,BAINBRIDGE ISLAND,WA,98110,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/13/2020,KeyBank National Association,WA-06
87735,SAMMAMISH,WA,98075,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
87704.4,SPANAWAY,WA,98387,238220,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,5,04/28/2020,KeyBank National Association,WA-08
87700,ANACORTES,WA,98221,621340,Corporation,White,Male Owned,Non-Veteran,,11,04/14/2020,KeyBank National Association,WA-02
87695,SEATTLE,WA,98102,541940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
87648,SILVERDALE,WA,98383,561612,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-06
87640,RENTON,WA,98057,541213,Corporation,Unanswered,Male Owned,Veteran,,7,04/13/2020,KeyBank National Association,WA-09
87574.5,Enumclaw,WA,98022,312140,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,4-11-2020,"JPMorgan Chase Bank, National Association",WA-08
87552,ABERDEEN,WA,98520,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,5-1-2020,"JPMorgan Chase Bank, National Association",WA-06
87552,SEATTLE,WA,98103,451140,Corporation,Unanswered,Unanswered,Unanswered,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
87500,ISSAQUAH,WA,98027,621498,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
87500,ARLINGTON,WA,98223,813319,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
87500,AUBURN,WA,98001,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,103,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
87500,BELLEVUE,WA,98005,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
87500,LYNNWOOD,WA,98036,999990,Corporation,Unanswered,Unanswered,Unanswered,,18,5-1-2020,"JPMorgan Chase Bank, National Association",WA-01
87500,TACOMA,WA,98422,238910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,4-11-2020,KeyBank National Association,WA-09
87500,SEATTLE,WA,98101,524210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
87500,SPOKANE,WA,99208,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,5-1-2020,"JPMorgan Chase Bank, National Association",WA-05
87500,ELLENSBURG,WA,98926,813312,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,10,4-11-2020,KeyBank National Association,WA-08
87500,SEQUIM,WA,98382,624190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,06/26/2020,"JPMorgan Chase Bank, National Association",WA-06
87500,SEDRO WOOLLEY,WA,98284,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,4-9-2020,KeyBank National Association,WA-02
87475,WOODWAY,WA,98020,561990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
87475,BELLEVUE,WA,98005,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,04/14/2020,KeyBank National Association,WA-09
87472,SPOKANE,WA,99208,624410,Corporation,Unanswered,Unanswered,Unanswered,,22,5-1-2020,"JPMorgan Chase Bank, National Association",WA-05
87465,SEATTLE,WA,98133,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/30/2020,"JPMorgan Chase Bank, National Association",WA-07
87438,SEATTLE,WA,98122,236115,Corporation,Unanswered,Male Owned,Non-Veteran,,,5-3-2020,"Wells Fargo Bank, National Association",WA-07
87438,MOUNTLAKE TERRACE,WA,98043,621210,Corporation,Unanswered,Male Owned,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-02
87423,TACOMA,WA,98445,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,4-11-2020,KeyBank National Association,WA-10
87400,ARLINGTON,WA,98223,238310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,4-11-2020,KeyBank National Association,WA-02
87400,KENT,WA,98030,722511,Corporation,Asian,Female Owned,Non-Veteran,,21,04/28/2020,KeyBank National Association,WA-09
87376,KIRKLAND,WA,98034,531311,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,4-11-2020,KeyBank National Association,WA-01
87217,Vancouver,WA,98661,423920,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,5-3-2020,KeyBank National Association,WA-03
87200,FREELAND,WA,98249,238330,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,9,04/13/2020,KeyBank National Association,WA-02
87180,REDMOND,WA,98052,813110,Corporation,Unanswered,Unanswered,Unanswered,,14,4-11-2020,"JPMorgan Chase Bank, National Association",WA-01
87100,SELAH,WA,98942,621310,Corporation,White,Male Owned,Non-Veteran,,11,04/13/2020,KeyBank National Association,WA-04
87100,TACOMA,WA,98405,713910,Corporation,Unanswered,Unanswered,Unanswered,,40,04/14/2020,KeyBank National Association,WA-06
87095,FERNDALE,WA,98248,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,5-1-2020,"JPMorgan Chase Bank, National Association",WA-01
87000,BAINBRIDGE ISLAND,WA,98110,236118,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,4-11-2020,KeyBank National Association,WA-06
86979,SEATTLE,WA,98119,541110,Partnership,Unanswered,Unanswered,Unanswered,,0,07/17/2020,"Wells Fargo Bank, National Association",WA-07
86952,SEATTLE,WA,98109,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
86924,BELLEVUE,WA,98005,713990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,25,04/14/2020,KeyBank National Association,WA-09
86923,SEATTLE,WA,98133,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,8-7-2020,KeyBank National Association,WA-07
86919,SEATTLE,WA,98104,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
86900,TACOMA,WA,98405,624410,Corporation,Unanswered,Unanswered,Unanswered,,9,04/13/2020,KeyBank National Association,WA-06
86900,YAKIMA,WA,98903,332710,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,10,4-9-2020,KeyBank National Association,WA-04
86862,MCKENNA,WA,98558,445120,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,13,04/13/2020,KeyBank National Association,WA-08
86820,TACOMA,WA,98405,621111,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,5-3-2020,"Wells Fargo Bank, National Association",WA-06
86800,TACOMA,WA,98444,624410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,4-10-2020,KeyBank National Association,WA-06
86790,KENNEWICK,WA,99336,446191,Corporation,Unanswered,Unanswered,Unanswered,,16,5-1-2020,"JPMorgan Chase Bank, National Association",WA-04
86777,BOTHELL,WA,98021,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4-10-2020,KeyBank National Association,WA-01
86750,ALLYN,WA,98524,561621,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,5-1-2020,"JPMorgan Chase Bank, National Association",WA-06
86693,ELLENSBURG,WA,98926,621210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",WA-08
86600,CENTRALIA,WA,98531,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,4-11-2020,KeyBank National Association,WA-03
86559,KIRKLAND,WA,98033,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,5-3-2020,KeyBank National Association,WA-01
86540,MILL CREEK,WA,98012,541110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,4,04/16/2020,"JPMorgan Chase Bank, National Association",WA-01
86400,SEATTLE,WA,98188,442299,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4-9-2020,KeyBank National Association,WA-09
86390,TACOMA,WA,98402,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,5-1-2020,"JPMorgan Chase Bank, National Association",WA-06
86383,EASTSOUND,WA,98245,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4-11-2020,KeyBank National Association,WA-02
86351,SEATTLE,WA,98105,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-07
86340,SEATTLE,WA,98134,311612,Corporation,Unanswered,Unanswered,Unanswered,,45,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
86300,EDMONDS,WA,98026,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,8-4-2020,KeyBank National Association,WA-07
86222,SEATTLE,WA,98121,524210,Corporation,Unanswered,Unanswered,Unanswered,,7,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
86207,SEATTLE,WA,98007,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
86200,ANACORTES,WA,98221,621498,Limited  Liability Company(LLC),Hispanic,Unanswered,Non-Veteran,,11,4-11-2020,KeyBank National Association,WA-02
86078,Bothell,WA,98021,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,5-3-2020,KeyBank National Association,WA-01
86071,SNOHOMISH,WA,98290,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/29/2020,"Wells Fargo Bank, National Association",WA-01
86030,POULSBO,WA,98370,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-06
85900,ILWACO,WA,98624,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,16,04/13/2020,KeyBank National Association,WA-03
85800,OCEAN PARK,WA,98640,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,4-11-2020,KeyBank National Association,WA-03
85792,FALL CITY,WA,98024,333923,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
85750,TACOMA,WA,98444,624410,Corporation,White,Female Owned,Non-Veteran,,16,04/13/2020,KeyBank National Association,WA-06
85700,OAK HARBOR,WA,98277,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4-11-2020,KeyBank National Association,WA-02
85700,BELLEVUE,WA,98004,236210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,04/28/2020,KeyBank National Association,WA-01
85600,SEATTLE,WA,98101,541110,Partnership,Unanswered,Unanswered,Unanswered,,5,4-10-2020,KeyBank National Association,WA-07
85600,SEATTLE,WA,98112,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,12,04/14/2020,KeyBank National Association,WA-07
85545,SEATTLE,WA,98103,541810,Corporation,Unanswered,Male Owned,Non-Veteran,,7,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
85538,VANCOUVER,WA,98662,999990,Corporation,Unanswered,Male Owned,Non-Veteran,,,5-3-2020,"Wells Fargo Bank, National Association",WA-03
85522,ISSAQUAH,WA,98027,999990,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-08
85500,KIRKLAND,WA,98033,811310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,4-11-2020,KeyBank National Association,WA-01
85432.5,BELLINGHAM,WA,98226,531210,Corporation,Unanswered,Male Owned,Non-Veteran,,8,04/30/2020,"JPMorgan Chase Bank, National Association",WA-02
85429,VANCOUVER,WA,98682,444110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-03
85417,REDMOND,WA,98052,621111,Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,"Wells Fargo Bank, National Association",WA-01
85417,BELLEVUE,WA,98004,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",WA-01
85416,SEATTLE,WA,98107,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/13/2020,KeyBank National Association,WA-07
85382,SEATTLE,WA,98126,541110,Partnership,Unanswered,Unanswered,Unanswered,,5,4-10-2020,KeyBank National Association,WA-07
85370.45,SEATTLE,WA,98168,811121,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,6-8-2020,KeyBank National Association,WA-09
85361,BURLINGTON,WA,98233,721110,Corporation,Unanswered,Unanswered,Non-Veteran,,13,04/29/2020,"JPMorgan Chase Bank, National Association",WA-02
85258,LACEY,WA,98503,722511,Corporation,Asian,Female Owned,Non-Veteran,,15,04/13/2020,KeyBank National Association,WA-10
85180,SEATTLE,WA,98101,531120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,6,04/13/2020,KeyBank National Association,WA-07
85127,EVERETT,WA,98204,332322,Corporation,White,Male Owned,Non-Veteran,,7,04/27/2020,KeyBank National Association,WA-02
85092,EVERETT,WA,98201,488410,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
85022,VANCOUVER,WA,98661,621610,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
85000,VANCOUVER,WA,98665,453310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
85000,SNOHOMISH,WA,98296,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,5-1-2020,"JPMorgan Chase Bank, National Association",WA-01
85000,PUYALLUP,WA,98373,722513,Corporation,Unanswered,Unanswered,Unanswered,,20,5-1-2020,"JPMorgan Chase Bank, National Association",WA-10
85000,SEATTLE,WA,98115,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
85000,SEATTLE,WA,98115,523930,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,4-11-2020,KeyBank National Association,WA-07
85000,SEATTLE,WA,98122,512110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,5,04/13/2020,KeyBank National Association,WA-07
85000,SEAVIEW,WA,98644,531311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/13/2020,KeyBank National Association,WA-03
85000,SEATTLE,WA,98121,541340,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
85000,KENT,WA,98032,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,5-2-2020,"Wells Fargo Bank, National Association",WA-09
84810,SEATTLE,WA,98168,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,11,5-8-2020,KeyBank National Association,WA-09
84700,Lynnwood,WA,98275,423490,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,4-10-2020,KeyBank National Association,WA-02
84691,FREELAND,WA,98249,541611,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,04/15/2020,KeyBank National Association,WA-02
84675,GRANDVIEW,WA,98930,722511,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,15,4-11-2020,KeyBank National Association,WA-04
84613,TACOMA,WA,98402,813319,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,5-3-2020,"Wells Fargo Bank, National Association",WA-06
84607,PUYALLUP,WA,98375,238990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
84500,ROCHESTER,WA,98579,722511,Corporation,Hispanic,Male Owned,Unanswered,,15,5-8-2020,KeyBank National Association,WA-03
84442,BREMERTON,WA,98337,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,5-1-2020,"JPMorgan Chase Bank, National Association",WA-06
84360,CAMAS,WA,98607,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
84271,VANCOUVER,WA,98683,722513,Corporation,Unanswered,Unanswered,Unanswered,,0,8-8-2020,KeyBank National Association,WA-03
84263,TACOMA,WA,98409,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0,5-3-2020,"Wells Fargo Bank, National Association",WA-06
84250,SEATTLE,WA,98125,541211,Corporation,Unanswered,Unanswered,Unanswered,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
84225,WOODINVILLE,WA,98072,541618,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,5-1-2020,"JPMorgan Chase Bank, National Association",WA-01
84202,VANCOUVER,WA,98660,541511,Corporation,Unanswered,Unanswered,Unanswered,,11,04/15/2020,"JPMorgan Chase Bank, National Association",WA-03
84200,PUYALLUP,WA,98371,487210,Corporation,Unanswered,Unanswered,Unanswered,,16,4-11-2020,KeyBank National Association,WA-10
84200,ISSAQUAH,WA,98027,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,4-11-2020,KeyBank National Association,WA-08
84194,BELLEVUE,WA,98007,336390,Corporation,White,Male Owned,Non-Veteran,,0,06/23/2020,"Wells Fargo Bank, National Association",WA-09
84164.79,PUYALLUP,WA,98372,238990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,06/30/2020,KeyBank National Association,WA-08
84152,GRAHAM,WA,98338,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
84110,SEATTLE,WA,98102,541310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,4-10-2020,KeyBank National Association,WA-07
84080,VANCOUVER,WA,98686,238110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/19/2020,"Wells Fargo Bank, National Association",WA-03
84000,YAKIMA,WA,98903,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4-11-2020,KeyBank National Association,WA-04
84000,DUVALL,WA,98019,722511,Corporation,White,Male Owned,Non-Veteran,,22,04/13/2020,KeyBank National Association,WA-01
83990,OKANOGAN,WA,98840,112990,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,4,4-11-2020,KeyBank National Association,WA-04
83922,PUYALLUP,WA,98375,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
83912,VANCOUVER,WA,98684,112210,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-03
83852,KENT,WA,98031,423910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4-11-2020,KeyBank National Association,WA-09
83840,LAKEWOOD,WA,98498,811111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,04/15/2020,KeyBank National Association,WA-10
83822,BELLEVUE,WA,98005,488510,Corporation,Unanswered,Unanswered,Unanswered,,6,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
83800,PASCO,WA,99301,811310,Corporation,Unanswered,Unanswered,Unanswered,,12,4-11-2020,KeyBank National Association,WA-04
83692,KENT,WA,98042,611710,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,12,4-11-2020,KeyBank National Association,WA-08
83647,AUBURN,WA,98092,561110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,5-1-2020,"JPMorgan Chase Bank, National Association",WA-08
83625,BELLEVUE,WA,98005,541511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
83601,SEATTLE,WA,98102,424460,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/28/2020,"Wells Fargo Bank, National Association",WA-07
83600,REDMOND,WA,98052,541211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,4-10-2020,KeyBank National Association,WA-01
83600,TACOMA,WA,98409,531120,Corporation,Unanswered,Female Owned,Non-Veteran,,,5-3-2020,"Wells Fargo Bank, National Association",WA-06
83573,CENTRALIA,WA,98531,444210,Corporation,White,Male Owned,Non-Veteran,,10,04/14/2020,KeyBank National Association,WA-03
83557,SEATTLE,WA,98074,424460,Corporation,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-08
83522,BELLEVUE,WA,98008,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
83520,SEATTLE,WA,98109,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,5-1-2020,"JPMorgan Chase Bank, National Association",WA-07
83453,VANCOUVER,WA,98685,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-03
83450,RENTON,WA,98057,621310,Corporation,Unanswered,Male Owned,Non-Veteran,,7,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
83387,STANWOOD,WA,98292,,Corporation,Unanswered,Unanswered,Unanswered,,18,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
83385,COLVILLE,WA,99114,624229,Corporation,Unanswered,Unanswered,Unanswered,,19,6-4-2020,"JPMorgan Chase Bank, National Association",WA-05
83355,UNIVERSITY PLACE,WA,98466,621310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,5-1-2020,"JPMorgan Chase Bank, National Association",WA-06
